"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","453","679","45.300000000000004","67.9"
"scientific reasoning","122","84","85","68.85245901639344","69.67213114754098"
"textbook question answering","158","97","113","61.39240506329114","71.51898734177216"
"numeric commonsense","144","36","55","25.0","38.19444444444444"
"arithmetic reasoning","353","94","203","26.628895184135974","57.50708215297451"
"visual question answering","179","90","89","50.27932960893855","49.72067039106145"
"geometry reasoning","239","153","171","64.01673640167364","71.54811715481172"
"algebraic reasoning","281","181","203","64.41281138790036","72.24199288256227"
"geometry problem solving","208","145","151","69.71153846153845","72.59615384615384"
"math word problem","186","21","129","11.29032258064516","69.35483870967742"
"logical reasoning","37","9","11","24.324324324324326","29.72972972972973"
"figure question answering","269","100","197","37.174721189591075","73.23420074349443"
"statistical reasoning","301","104","247","34.55149501661129","82.05980066445183"
